"driver_mut" "ProjectName" "sample" "CLASS" "indel_n"
"166" "BRCA2" NA "81bc7f0c-865d-4801-a935-2ab04170df53" "MMEJ" 627
"167" "BRCA2" NA "8658f4f5-9a50-4195-8ea3-227951977647" "cNHEJ" 21
"168" "BRCA2" NA "8658f4f5-9a50-4195-8ea3-227951977647" "MMEJ" 154
"169" "BRCA2" NA "a7a56d67-1bd7-4d69-9237-34c2d261261b" "cNHEJ" 16
"170" "BRCA2" NA "a7a56d67-1bd7-4d69-9237-34c2d261261b" "MMEJ" 205
"171" "BRCA2" NA "b3f1d232-4392-4258-9256-d38ff4b59f94" "cNHEJ" 16
"172" "BRCA2" NA "b3f1d232-4392-4258-9256-d38ff4b59f94" "MMEJ" 63
"173" "BRCA2" NA "bbdd7393-024b-4073-b5bc-ef7a68c15b8a" "cNHEJ" 148
"174" "BRCA2" NA "bbdd7393-024b-4073-b5bc-ef7a68c15b8a" "MMEJ" 910
"175" "BRCA2" NA "c9959f68-c385-4c1f-9188-8203844d288e" "cNHEJ" 61
"176" "BRCA2" NA "c9959f68-c385-4c1f-9188-8203844d288e" "MMEJ" 443
"177" "BRCA2" NA "dbbd54db-4470-4df6-b5be-3e175c7133b0" "cNHEJ" 72
"178" "BRCA2" NA "dbbd54db-4470-4df6-b5be-3e175c7133b0" "MMEJ" 430
"179" "BRCA2" NA "e4c8c7f0-5bac-4d59-91c4-c98207150548" "cNHEJ" 69
"180" "BRCA2" NA "e4c8c7f0-5bac-4d59-91c4-c98207150548" "MMEJ" 514
"181" "BRCA2" NA "efbec43c-0c16-4006-abe8-c3ec2ec42c05" "cNHEJ" 25
"182" "BRCA2" NA "efbec43c-0c16-4006-abe8-c3ec2ec42c05" "MMEJ" 275
"183" "BRCA2" NA "f393bafd-1baa-e5f4-e040-11ac0d48450b" "cNHEJ" 31
"184" "BRCA2" NA "f393bafd-1baa-e5f4-e040-11ac0d48450b" "MMEJ" 357
"185" "BRCA2" NA "f393bafe-7503-5c45-e040-11ac0d484511" "cNHEJ" 57
"186" "BRCA2" NA "f393bafe-7503-5c45-e040-11ac0d484511" "MMEJ" 493
"187" "BRCA2" NA "f393bb07-270c-2c93-e040-11ac0d484533" "cNHEJ" 28
"188" "BRCA2" NA "f393bb07-270c-2c93-e040-11ac0d484533" "MMEJ" 312
"189" "BRCA2" NA "f393bb08-4121-cad8-e040-11ac0d484535" "cNHEJ" 44
"190" "BRCA2" NA "f393bb08-4121-cad8-e040-11ac0d484535" "MMEJ" 492
"191" "BRCA2" NA "f4ada7a2-c4ac-4f89-ada7-4645861002cb" "cNHEJ" 58
"192" "BRCA2" NA "f4ada7a2-c4ac-4f89-ada7-4645861002cb" "MMEJ" 394
"193" "BRCA2" NA "f7e4a2a8-093d-9e36-e040-11ac0d480c7d" "cNHEJ" 31
"194" "BRCA2" NA "f7e4a2a8-093d-9e36-e040-11ac0d480c7d" "MMEJ" 217
"195" "BRCA2" NA "fc8130df-2211-cfcc-e040-11ac0d485dde" "cNHEJ" 43
"196" "BRCA2" NA "fc8130df-2211-cfcc-e040-11ac0d485dde" "MMEJ" 264
"197" "BRCA2" NA "fc8130df-30a5-3e6a-e040-11ac0d485de2" "cNHEJ" 41
"198" "BRCA2" NA "fc8130df-30a5-3e6a-e040-11ac0d485de2" "MMEJ" 257
"199" "BRCA2" NA "fc8130df-6860-7677-e040-11ac0d485ddc" "cNHEJ" 59
"200" "BRCA2" NA "fc8130df-6860-7677-e040-11ac0d485ddc" "MMEJ" 358
"201" "BRCA2" NA "fc8130df-90ba-5d94-e040-11ac0d485e0c" "cNHEJ" 51
"202" "BRCA2" NA "fc8130df-90ba-5d94-e040-11ac0d485e0c" "MMEJ" 386
"203" "BRCA2" NA "fc8130e0-a38a-23b9-e040-11ac0c48327f" "cNHEJ" 45
"204" "BRCA2" NA "fc8130e0-a38a-23b9-e040-11ac0c48327f" "MMEJ" 323
"205" "BRCA2" NA "fc8130e3-01ba-c740-e040-11ac0c483291" "cNHEJ" 61
